id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city,neighbourhood_group,price_category,availability_category,review_activity,host_listing_count_x,host_type,host_listing_count_y,host_listing_count
1204387279291172646,St Roch Art House 7 min. to FQ,590732730,Brittany,Unknown,29.980461153733195,-90.05010100073001,Entire home/apt,297.84,30.0,2,2025-03-02,0.1,270,New Orleans,Other,Luxury ($250+),High (181-270 days),Occasional,2,Growing (2-3 listings),2,2
1205286444233179578,The Haven at GeGe - Peaceful New Orleans Retreat,3004684,Kesha,Unknown,29.99916907932609,-90.06381593946408,Private room,40.62,30.0,0,Unknown,0.0,269,New Orleans,Other,Budget (< $50),High (181-270 days),No Reviews,1,Casual (1 listing),1,1
1205305444299446300,Renovated home in Bayou St John,1275129,Austin,Unknown,29.9721059,-90.0856992,Entire home/apt,52.83,31.0,1,2024-09-12,0.05,321,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
1206517485164916288,Bold and Vibrant Big Easy Escape,591438296,Brittanie,Unknown,29.94917,-90.07432,Entire home/apt,837.0,3.0,6,2026-05-17,0.3,336,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
1207186936823794999,Historic Cottage+Courtyard - Close to Everything!,28711795,Scott,Unknown,29.923863,-90.0731055,Entire home/apt,178.5,2.0,100,2026-06-14,4.34,342,New Orleans,Other,Premium ($150-250),Always Available (271-365),Highly Active,15,Professional (4+ listings),15,15
1207189019954099773,The Retro Camper Van Room,590865143,Mowgli,Unknown,29.96832244565914,-90.0549802116394,Private room,87.0,1.0,81,2026-05-24,3.74,165,New Orleans,Other,Economy ($50-100),Medium (91-180 days),Highly Active,6,Professional (4+ listings),6,6
1207346335268286349,Nitey Nite Inn - Room #1,5649317,Scott,Unknown,29.97162,-90.05813,Private room,84.5,2.0,4,2026-05-18,1.56,360,New Orleans,Other,Economy ($50-100),Always Available (271-365),Regular,7,Professional (4+ listings),7,7
1207477214927039753,Central NOLA Balcony Condo Minutes to Attractions,505732476,The Balcony House,Unknown,29.93943,-90.08156,Entire home/apt,249.0,2.0,18,2026-05-18,0.89,175,New Orleans,Other,Premium ($150-250),Medium (91-180 days),Occasional,2,Growing (2-3 listings),2,2
1207483593699447128,The Sputnik Room,590865143,Mowgli,Unknown,29.96827,-90.05492,Private room,95.0,1.0,91,2026-06-01,4.13,171,New Orleans,Other,Economy ($50-100),Medium (91-180 days),Highly Active,6,Professional (4+ listings),6,6
1207970827470262613,Nitey Nite Inn - Room #2,5649317,Scott,Unknown,29.97376,-90.05716,Private room,84.5,2.0,5,2026-05-18,1.7,360,New Orleans,Other,Economy ($50-100),Always Available (271-365),Regular,7,Professional (4+ listings),7,7
1208023003166265640,Sweet Artist Haint,20736075,Rebecca,Unknown,29.983715047480715,-90.07657048109608,Entire home/apt,183.0,2.0,28,2026-05-18,1.33,329,New Orleans,Other,Premium ($150-250),Always Available (271-365),Regular,1,Casual (1 listing),1,1
1208947626683125865,Nitey Nite Inn - Room #3,5649317,Scott,Unknown,29.97186631495546,-90.05803608857993,Private room,84.5,2.0,13,2026-06-14,0.82,361,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,7,Professional (4+ listings),7,7
1209440644566473769,Cute Uptown bungalow (Summer Rental Only),30592830,Casey,Unknown,29.93090360487755,-90.1043150450187,Entire home/apt,796.45,30.0,0,Unknown,0.0,364,New Orleans,Other,Luxury ($250+),Always Available (271-365),No Reviews,1,Casual (1 listing),1,1
